ID,Input,Expected,English,Intent,Correct,Flags,Trans Time,LLM Time,Total Time
gen_1,ඊළඟ පිටුවට යන්න,NEXT_PAGE,Go to the next page,NEXT_PAGE,True,"{""language_style"": ""simple""}",3.423,27.462,30.885
gen_2,පෙර පිටුවට යන්න,PREVIOUS_PAGE,Go to the previous page,PREVIOUS_PAGE,True,"{""language_style"": ""simple""}",1.649,3.864,5.513
gen_3,මේ පුවත සාරාංශ කරන්න,SUMMARIZE,Summarize this report,SUMMARIZE,True,"{""language_style"": ""simple""}",1.773,3.891,5.664
gen_4,අද ප්‍රධාන සිරස්තල කියවන්න,READ_HEADLINES,Read the main headlines today,READ_HEADLINES,True,"{""language_style"": ""simple""}",1.776,4.014,5.79
gen_5,මට මේක තේරෙන්නේ නෑ කරුණාකර පැහැදිලි කරන්න,EXPLAIN,I don't understand this. Please explain.,EXPLAIN,True,"{""language_style"": ""simple""}",2.66,3.858,6.518
gen_6,ආයෙත් කියන්න,REPEAT,Say it again .,REPEAT,True,"{""speed"": ""fast""}",1.417,3.801,5.218
gen_7,කෙටියෙන් කියන්න,SIMPLIFY,Let me tell you briefly.,SUMMARIZE,False,"{""language_style"": ""simple""}",2.067,3.873,5.94
gen_8,නවතන්න,STOP,Stop it .,STOP,True,"{""speed"": ""fast""}",1.139,3.652,4.791
gen_9,දිනමිණ පත්තරේ අද තියෙන ප්‍රධාන ප්‍රවෘත්ති මොනවද,READ_HEADLINES,What are the main news stories in the daily newspaper today?,READ_ARTICLE,False,"{""language_style"": ""simple""}",3.197,4.06,7.257
gen_10,ඊළඟ පුවත කියවන්න,NEXT_ARTICLE,Read the next article,NEXT_ARTICLE,True,"{""language_style"": ""simple""}",1.434,3.867,5.301
gen_11,කලින් කියවපු එකට ආපහු යන්න,PREVIOUS_ARTICLE,Back to the previous reading,PREVIOUS_ARTICLE,True,"{""language_style"": ""simple""}",1.687,4.132,5.819
gen_12,මේක තව ටිකක් සරලව කියන්න පුළුවන්ද,SIMPLIFY,Can you make this a little easier ?,SIMPLIFY,True,"{""language_style"": ""simple""}",3.108,4.053,7.16
gen_13,වෙනත් විදිහකට මේක කියන්න,REPHRASE,"In other words, say it.",EXPLAIN,False,"{""language_style"": ""simple""}",2.619,3.918,6.536
gen_14,ක්‍රීඩා පිටුවට යන්න,NAVIGATE_SECTION,Go to the games page,NEXT_PAGE,False,"{""language_style"": ""simple""}",2.102,3.943,6.045
gen_15,මේ සම්පූර්ණ ලිපියම කියවන්න,READ_ARTICLE,Read the whole article.,READ_ARTICLE,True,"{""language_style"": ""simple""}",2.089,3.917,6.006
gen_16,හ්ම් මට ඕනේ මේකේ වැදගත්ම කරුණු ටික විතරක් දැනගන්න,SUMMARIZE,I just want to know the most important things about this .,SUMMARIZE,True,"{""detail_level"": ""brief""}",4.059,4.13,8.189
gen_17,මට ඇහුණේ නෑ මුල ඉඳන් ආයේ කියවන්න,REPEAT,I didn't hear it from the beginning. Read it again.,REPEAT,True,{},4.616,3.659,8.275
gen_18,මේ පුවතේ පසුබිම ටිකක් විස්තර කරන්න,EXPLAIN,Describe the background of this article,EXPLAIN,True,"{""language_style"": ""simple""}",2.673,4.007,6.681
gen_19,දැන් ඇති කියෙව්වා නවත්වන්න,STOP,Now enough to stop reading,STOP,True,"{""speed"": ""fast""}",2.073,3.763,5.835
gen_20,ඊළඟ එක,NEXT_ARTICLE,The next one.,NEXT_PAGE,False,"{""language_style"": ""simple""}",1.795,3.876,5.671
